

                  |¯¯¯|            |¯¯¯¯¯¯¯¯¯¯¯¯¯|  |¯¯¯¯¯¯¯¯¯¯¯¯¯|  |¯¯¯¯¯¯¯¯¯¯¯¯¯|
                  |   |            |             |  |             |  |             |
                  |   |            |   |¯¯¯¯¯|   |  |   |¯¯¯¯¯¯¯¯¯   |    |¯¯¯¯¯¯¯¯ 
                  |   |            |   |     |   |  |   |            |    |________ 
                  |   |            |   |     |   |  |   |   |¯¯¯¯¯|  |             |
                  |   |            |   |     |   |  |   |   |_    |  |_________    |
                  |   |            |   |     |   |  |   |     |   |            |   |
                  |   |_________   |   |_____|   |  |   |_____|   |   _________|   |
                  |             |  |             |  |             |  |             |
                  |_____________|  |_____________|  |_____________|  |_____________|

==============================================================================================================
  DATE     |   DAY   |     TIME     |   TYPE  |                           MESSAGE
==============================================================================================================

                                             IMAGE VALIDATION
--------------------------------------------------------------------------------------------------------------
08/08/21   |   SUN   |   21:42:15   |   BEG   |   IMAGE VALIDATION MODULE INITIALIZED
--------------------------------------------------------------------------------------------------------------
08/08/21   |   SUN   |   21:42:15   |   CHK   |   IMAGE VALIDATION CONSTRUCTOR INITIALIZED
08/08/21   |   SUN   |   21:42:15   |   INF   |   TRAINING_BATCH_FOLDER FOUND
08/08/21   |   SUN   |   21:42:15   |   INF   |   SOT LOADED SUCCESSFULLY 
08/08/21   |   SUN   |   21:42:17   |   INF   |   MTCNN INITIALIZATION SUCCESSFULLY
08/08/21   |   SUN   |   21:42:17   |   PAS   |   IMAGE VALIDATION CONSTRUCTOR COMPLETED
08/08/21   |   SUN   |   21:42:17   |   CHK   |   DIRECTORY GENERATION METHOD INITIALIZED
08/08/21   |   SUN   |   21:42:17   |   CHK   |   GOOD_IMAGES DIRECTORY GENERATION INITIALIZED
08/08/21   |   SUN   |   21:42:17   |   INF   |   GOOD_IMAGES DIRECTORY ALREADY EXISTS
08/08/21   |   SUN   |   21:42:17   |   INF   |   DELETING PREVIOUSLY GENERATING DIRECTORY
08/08/21   |   SUN   |   21:42:17   |   INF   |   GOOD_IMAGES DIRECTORY CREATED
08/08/21   |   SUN   |   21:42:17   |   PAS   |   GOOD_IMAGES DIRECTORY GENERATION COMPLETED
08/08/21   |   SUN   |   21:42:17   |   CHK   |   BAD_IMAGES DIRECTORY GENERATION INITIALIZED
08/08/21   |   SUN   |   21:42:17   |   INF   |   BAD_IMAGES DIRECTORY ALREADY EXISTS
08/08/21   |   SUN   |   21:42:17   |   INF   |   DELETING PREVIOUSLY GENERATING DIRECTORY
08/08/21   |   SUN   |   21:42:17   |   INF   |   BAD_IMAGES DIRECTORY CREATED
08/08/21   |   SUN   |   21:42:17   |   PAS   |   BAD_IMAGES DIRECTORY COMPLETED
08/08/21   |   SUN   |   21:42:17   |   PAS   |   DIRECTORY GENERATION METHOD COMPLETED
08/08/21   |   SUN   |   21:42:17   |   CHK   |   IMAGE VALIDATION METHOD INITIALIZED
08/08/21   |   SUN   |   21:42:17   |   INF   |   FETCHING ALL IMAGES FROM TRAINING_BATCH_FOLDER
08/08/21   |   SUN   |   21:42:17   |   INF   |   AARON ECKHART.JPG IS SELECTED FOR VALIDATION
