
DATE,DAY,TIME,TYPE,MESSAGE




06/23/21,WED,19:42:48,BEG,IMAGE VALIDATION MODULE INITIALIZED

06/23/21,WED,19:42:48,CHK,IMAGE VALIDATION CONSTRUCTOR INITIALIZED
06/23/21,WED,19:42:48,INF,TRAINING_BATCH_FOLDER FOUND
06/23/21,WED,19:42:48,INF,SOT LOADED SUCCESSFULLY
06/23/21,WED,19:42:49,INF,MTCNN INITIALIZATION SUCCESSFULLY
06/23/21,WED,19:42:49,PAS,IMAGE VALIDATION CONSTRUCTOR COMPLETED
06/23/21,WED,19:42:49,CHK,DIRECTORY GENERATION METHOD INITIALIZED
06/23/21,WED,19:42:49,CHK,GOOD_IMAGES DIRECTORY GENERATION INITIALIZED
06/23/21,WED,19:42:49,INF,GOOD_IMAGES DIRECTORY ALREADY EXISTS
06/23/21,WED,19:42:49,INF,DELETING PREVIOUSLY GENERATING DIRECTORY
06/23/21,WED,19:42:49,INF,GOOD_IMAGES DIRECTORY CREATED
06/23/21,WED,19:42:49,PAS,GOOD_IMAGES DIRECTORY GENERATION COMPLETED
06/23/21,WED,19:42:49,CHK,BAD_IMAGES DIRECTORY GENERATION INITIALIZED
06/23/21,WED,19:42:49,INF,BAD_IMAGES DIRECTORY ALREADY EXISTS
06/23/21,WED,19:42:49,INF,DELETING PREVIOUSLY GENERATING DIRECTORY
06/23/21,WED,19:42:49,INF,BAD_IMAGES DIRECTORY CREATED
06/23/21,WED,19:42:49,PAS,BAD_IMAGES DIRECTORY COMPLETED
06/23/21,WED,19:42:49,PAS,DIRECTORY GENERATION METHOD COMPLETED
06/23/21,WED,19:42:49,CHK,IMAGE VALIDATION METHOD INITIALIZED
06/23/21,WED,19:42:49,INF,FETCHING ALL IMAGES FROM TRAINING_BATCH_FOLDER
06/23/21,WED,19:42:49,INF,BHAVNA AGRAWAL.JPG IS SELECTED FOR VALIDATION
06/23/21,WED,19:42:49,INF,BHAVNA AGRAWAL.JPG IS ENDING WITH .JPG
06/23/21,WED,19:42:49,CHK,FACE VALIDATION METHOD INITIALIZED
06/23/21,WED,19:42:53,INF,ONE PERSON PER IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:53,INF,3 CHANNELS VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:53,INF,3 DIMENSIONS IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:53,INF,SATISFIED ALL THE VALIDATION CONDITIONS
06/23/21,WED,19:42:53,INF,MOVED IMAGE TO GOOD_IMAGE DIRECTORY
06/23/21,WED,19:42:53,PAS,IMAGE VALIDATION METHOD COMPLETED
06/23/21,WED,19:42:53,INF,CHAKRIKA ANAND.JPG IS SELECTED FOR VALIDATION
06/23/21,WED,19:42:53,INF,CHAKRIKA ANAND.JPG IS ENDING WITH .JPG
06/23/21,WED,19:42:53,CHK,FACE VALIDATION METHOD INITIALIZED
06/23/21,WED,19:42:54,INF,ONE PERSON PER IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:54,INF,3 CHANNELS VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:54,INF,3 DIMENSIONS IMAGE VALIDATION CONDITION SATISFIED
